plantname,classification,image_path
Corallina,Rodofita,extracted_images/image1.jpg
Chondrus,Rodofita,extracted_images/image2.jpg
Chondrus crispus,"Rodofita 

R III",extracted_images/image3.jpg
Ulva lactuca,Clorofita,extracted_images/image4.jpg
Ulva intestinalis,"Clorofita

R III",extracted_images/image5.jpg
Enteromorpha intestinalis,Clorofita,extracted_images/image6.jpg
Acetabularia,Clorofita,extracted_images/image7.jpg
Laminaria,Feofita,extracted_images/image8.jpg
Fucus,Feofita,extracted_images/image9.jpg
Sargassum,Feofita,extracted_images/image10.jpg
Himmanthalia,Feofita,extracted_images/image11.jpg
Ascophyllum,Feofita,extracted_images/image12.jpg
Lactarius,Basidiomiceto,extracted_images/image13.jpg
Boletus,Basidiomiceto,extracted_images/image14.jpg
Agaricus,Basidiomiceto,extracted_images/image15.jpg
Lepiota,Basidiomiceto,extracted_images/image16.jpg
Amanita,Basidiomiceto,extracted_images/image17.jpg
Armillaria,Basidiomiceto,extracted_images/image18.jpg
Phallus impudicus,"Basidiomiceto

C VISU II",extracted_images/image19.jpg
Laetiporus sulphureus,"Basidiomiceto 

R III",extracted_images/image20.jpg
Mucor mucedo,Ficomiceto,extracted_images/image21.jpg
Graphis,Liquen,extracted_images/image22.jpg
Cladonia rangiferina,Liquen,extracted_images/image23.jpg
Parmelia,Liquen,extracted_images/image24.jpg
Usnea barbata,Liquen,extracted_images/image25.jpg
Xanthoria,Liquen,extracted_images/image26.jpg
Marchantia polymorpha,Liquen,extracted_images/image27.jpg
Lobaria pulmonaria,"Liquen

R III",extracted_images/image28.jpg
Polytrichum,Musgo,extracted_images/image29.jpg
Polypodium vulgare,Pteridofita,extracted_images/image30.jpg
Asplenium,Pteridofita,extracted_images/image31.jpg
Pteridium aquilinum,Pteridofita,extracted_images/image32.jpg
Polystichum,Pteridofita,extracted_images/image33.jpg
Scolopendrium officinale,Pteridofita,extracted_images/image34.jpg
Blechnum spicant,Pteridofita,extracted_images/image35.jpg
Aspidium,Pteridofita,extracted_images/image36.jpg
Osmunda regalis,Pteridofita,extracted_images/image37.jpg
Davallia canariensis,Pteridofita,extracted_images/image38.jpg
Lycopodium,Pteridofita,extracted_images/image39.jpg
Adiantum,Pteridofita,extracted_images/image40.jpg
"Ophioglossum vulgatum 

Lengua de serpiente","Pteridófita

R II",extracted_images/image41.jpg
Ginko biloba,Gimnosperma,extracted_images/image42.jpg
Ephedra,Gimnosperma,extracted_images/image43.jpg
"Taxus
baccata","Gimnosperma

C VISU I",extracted_images/image44.jpg
Araucaria,Gimnosperma,extracted_images/image45.jpg
"Larix
decidua",Gimnosperma,extracted_images/image46.jpg
Cedrus,Gimnosperma,extracted_images/image47.jpg
Abies,Gimnosperma,extracted_images/image48.jpg
Picea,Gimnosperma,extracted_images/image49.jpg
Pseudotsuga mienziessi,Gimnosperma,extracted_images/image50.jpg
Pinus,Gimnosperma,extracted_images/image51.jpg
Cupressus,Gimnosperma,extracted_images/image52.jpg
Cupressus sempervirens,"Gimnosperma

C VISU II",extracted_images/image53.jpg
Chamaeciparis lawsoniana,Gimnosperma,extracted_images/image54.jpg
Cryptomeria japonica,Gimnosperma,extracted_images/image55.jpg
Sequoia,Gimnosperma,extracted_images/image56.jpg
Juniperus,Gimnosperma,extracted_images/image57.jpg
Juniperus oxycedrus,"Gimnosperma

C VISU I",extracted_images/image58.jpg
Platycladus orientalis,"Gimnosperma

C VISU II",extracted_images/image59.jpg
Fagus sylvatica,Dicotiledónea,extracted_images/image60.jpg
Castanea,Dicotiledónea,extracted_images/image61.jpg
Quercus,Dicotiledónea,extracted_images/image62.jpg
Betula,Dicotiledonea,extracted_images/image63.jpg
Alnus glutinosa,Dicotiledónea,extracted_images/image64.jpg
Corylus avellana,Dicotiledonea,extracted_images/image65.jpg
Casuarina,Dicotiledonea,extracted_images/image66.jpg
Juglans,Dicotiledónea,extracted_images/image67.jpg
Juglans regia,"Dicotoledónea

R III",extracted_images/image68.jpg
Salix,Dicotiledónea,extracted_images/image69.jpg
Ulmus,Dicotiledónea,extracted_images/image70.jpg
Ficus,Dicotiledónea,extracted_images/image71.jpg
Urtica,Dicotiledónea,extracted_images/image72.jpg
Humulus lupulus,Dicotiledónea,extracted_images/image73.jpg
Viscum álbum,Dicotiledónea,extracted_images/image74.jpg
Rumex,Dicotiledónea,extracted_images/image75.jpg
Chenopodium,Dicotiledónea,extracted_images/image76.jpg
Amaranthus,Dicotiledónea,extracted_images/image77.jpg
Cuscuta,Dicotiledónea,extracted_images/image78.jpg
Euphorbia,Dicotiledónea,extracted_images/image79.jpg
Buxus,Dicotiledónea,extracted_images/image80.jpg
Carpobrotus,Dicotiledónea,extracted_images/image81.jpg
Magnolia,Dicotiledónea,extracted_images/image82.jpg
Liriodendron tulipifera,Dicotiledónea,extracted_images/image83.jpg
Laurus nobilis,Dicotiledónea,extracted_images/image84.jpg
Stellaria,Dicotiledónea,extracted_images/image85.jpg
Silene,Dicotiledónea,extracted_images/image86.jpg
Dianthus,Dicotiledónea,extracted_images/image87.jpg
Saponaria officinalis,Dicotiledánea,extracted_images/image88.jpg
Papaver rhoeas,Dicotiledónea,extracted_images/image89.jpg
Chelidonium majus,Dicotiledónea,extracted_images/image90.jpg
Fumaria,Dicotiledánea,extracted_images/image91.jpg
"Fumaria officinalis

Palomilla/ sangre de Cisto","Dicotiledónea

R II
R III",extracted_images/image92.jpg
Rannunculus,Dicotiledónea,extracted_images/image93.jpg
Drosera,Dicotiledánea,extracted_images/image94.jpg
Brassica,Dicotiledánea,extracted_images/image95.jpg
Raphanus,Dicotiledánea,extracted_images/image96.jpg
Capsella bursa-pastoris,Dicotiledónea,extracted_images/image97.jpg
Cistus,Dicotiledánea,extracted_images/image98.jpg
Camellia japonica,Dicotiledónea,extracted_images/image99.jpg
Umblicus ruprestris,Dicotiledónea,extracted_images/image100.jpg
Sedum,Dicotiledónea,extracted_images/image101.jpg
Fragaria vesca,Dicotiledónea,extracted_images/image102.jpg
Rubus,Dicotiledánea,extracted_images/image103.jpg
Rosa,Dicotiledónea,extracted_images/image104.jpg
Sorbus,Dicotiledónea,extracted_images/image105.jpg
Prunus,Dicotiledónea,extracted_images/image106.jpg
Crataegus,Dicotiledánea,extracted_images/image107.jpg
Pyrus,Dicotiledónea,extracted_images/image108.jpg
Lotus,Dicotiledánea,extracted_images/image109.jpg
Medicago,Dicotiledónea,extracted_images/image110.jpg
Pisum,Dicotiledónea,extracted_images/image111.jpg
Trifolium,Dicotiledónea,extracted_images/image112.jpg
Lupinus,Dicotiledónea,extracted_images/image113.jpg
